ac_no,st_code,st_name,ac_name
171,S20,Rajasthan,Badi Sadri
172,S20,Rajasthan,Pratapgarh
173,S20,Rajasthan,Bhim
174,S20,Rajasthan,Kumbhalgarh
175,S20,Rajasthan,Rajsamand
176,S20,Rajasthan,Nathdwara
177,S20,Rajasthan,Asind
178,S20,Rajasthan,Mandal
179,S20,Rajasthan,Sahara
180,S20,Rajasthan,Bhilwara
181,S20,Rajasthan,Shahpura
182,S20,Rajasthan,Jahazpur
183,S20,Rajasthan,Mandalgarh
184,S20,Rajasthan,Hindoli
185,S20,Rajasthan,Keshoraipatan
186,S20,Rajasthan,Bundi
187,S20,Rajasthan,Pipalda
188,S20,Rajasthan,Sangod
189,S20,Rajasthan,Kota North
190,S20,Rajasthan,Kota South
191,S20,Rajasthan,Ladpura
192,S20,Rajasthan,Ramganj Mandi
193,S20,Rajasthan,Anta
194,S20,Rajasthan,Kishanganj
195,S20,Rajasthan,Baran-Atru
196,S20,Rajasthan,Chhabra
197,S20,Rajasthan,Dag
198,S20,Rajasthan,Jhalrapatan
199,S20,Rajasthan,Khanpur
200,S20,Rajasthan,Manohar Thana
1,S26,Chhattisgarh,Bharatpur - Sonhat
2,S26,Chhattisgarh,Manendragarh
3,S26,Chhattisgarh,Baikunthpur
4,S26,Chhattisgarh,Premnagar
5,S26,Chhattisgarh,Bhatgaon
6,S26,Chhattisgarh,Pratappur
7,S26,Chhattisgarh,Ramanujganj
8,S26,Chhattisgarh,Samri
9,S26,Chhattisgarh,Lundra
10,S26,Chhattisgarh,Ambikapur
11,S26,Chhattisgarh,Sitapur
12,S26,Chhattisgarh,Jashpur
13,S26,Chhattisgarh,Kunkuri
14,S26,Chhattisgarh,Patalgaon
15,S26,Chhattisgarh,Lailunga
16,S26,Chhattisgarh,Raigarh
17,S26,Chhattisgarh,Sarangarh
18,S26,Chhattisgarh,Kharsia
19,S26,Chhattisgarh,Dharamjaigarh
20,S26,Chhattisgarh,Rampur
21,S26,Chhattisgarh,Korba
22,S26,Chhattisgarh,Katghora
23,S26,Chhattisgarh,Pali - Tanakhar
24,S26,Chhattisgarh,Marwahi
25,S26,Chhattisgarh,Kota
26,S26,Chhattisgarh,Lormi
27,S26,Chhattisgarh,Mungeli
28,S26,Chhattisgarh,Takhatpur
29,S26,Chhattisgarh,Bilha
30,S26,Chhattisgarh,Bilaspur
31,S26,Chhattisgarh,Beltara
32,S26,Chhattisgarh,Masturi
33,S26,Chhattisgarh,Akaltara
34,S26,Chhattisgarh,Janjgir - Champa
35,S26,Chhattisgarh,Sakti
36,S26,Chhattisgarh,Chandrapur
37,S26,Chhattisgarh,Jaijepur
38,S26,Chhattisgarh,Pamgarh
39,S26,Chhattisgarh,Saraipali
40,S26,Chhattisgarh,Basna
41,S26,Chhattisgarh,Khallari
42,S26,Chhattisgarh,Mahasamund
43,S26,Chhattisgarh,Bilaigarh
44,S26,Chhattisgarh,Kasdol
45,S26,Chhattisgarh,Baloda Bazar
46,S26,Chhattisgarh,Bhatapara
47,S26,Chhattisgarh,Dharsiwa
48,S26,Chhattisgarh,Raipur City Gramin
49,S26,Chhattisgarh,Raipur City West
50,S26,Chhattisgarh,Raipur City North
51,S26,Chhattisgarh,Raipur City South
52,S26,Chhattisgarh,Arang
53,S26,Chhattisgarh,Abhanpur
54,S26,Chhattisgarh,Rajim
55,S26,Chhattisgarh,Bindranavagarh
56,S26,Chhattisgarh,Sihawa
57,S26,Chhattisgarh,Kurud
58,S26,Chhattisgarh,Dhamtari
59,S26,Chhattisgarh,Sanjari Balod
60,S26,Chhattisgarh,Dondilohara
61,S26,Chhattisgarh,Gunderdehi
62,S26,Chhattisgarh,Patan
63,S26,Chhattisgarh,Durg Gramin
64,S26,Chhattisgarh,Durg City
65,S26,Chhattisgarh,Bhilai Nagar
