st_code,st_name,ac_no,ac_name,candidate,party,evm_votes,postal_votes,total_votes,percent_votes
S12,Madhya Pradesh,29,Guna,Ranjeet Banjare,Independent,402,0,402,0.19
S12,Madhya Pradesh,29,Guna,Shyamlal Burman,Independent,222,0,222,0.1
S12,Madhya Pradesh,29,Guna,Suraj Kumar Anant,Independent,110,1,111,0.05
S12,Madhya Pradesh,29,Guna,Surendra Kumar Manu,Independent,152,0,152,0.07
S12,Madhya Pradesh,29,Guna,NOTA,None of the Above,544,3,547,0.26
S12,Madhya Pradesh,30,Chachoda,AKHILESH PANDEY,Janta Congress Chhattisgarh (J),828,7,835,0.58
S12,Madhya Pradesh,30,Chachoda,AMAR AGRAWAL,Bharatiya Janata Party,82112,910,83022,57.94
S12,Madhya Pradesh,30,Chachoda,DR. UJWALA KARADE,Aam Aadmi Party,1764,37,1801,1.26
S12,Madhya Pradesh,30,Chachoda,SHAILESH PANDEY,Indian National Congress,53377,686,54063,37.73
S12,Madhya Pradesh,30,Chachoda,SHRADDHA SEMSON,Bahujan Samaj Party,725,21,746,0.52
S12,Madhya Pradesh,30,Chachoda,AMAR RUPANI,Parivartan Party of India,78,1,79,0.06
S12,Madhya Pradesh,30,Chachoda,JEEVAN LAL PATEL,Bhartiya Shakti Chetna Party,58,1,59,0.04
S12,Madhya Pradesh,30,Chachoda,TWINKLE MOURYA,National Youth Party,68,1,69,0.05
S12,Madhya Pradesh,30,Chachoda,BARAN LAL KARIYARE (L.L.B.),Ambedkarite Party of India,85,0,85,0.06
S12,Madhya Pradesh,30,Chachoda,AJAY PANIKAR,Independent,38,0,38,0.03
S12,Madhya Pradesh,30,Chachoda,ANILESH MISHRA (BITTU),Independent,65,1,66,0.05
S12,Madhya Pradesh,30,Chachoda,ARUN TIWARI,Independent,144,1,145,0.1
S12,Madhya Pradesh,30,Chachoda,TOLARAM RELWANI,Independent,258,0,258,0.18
S12,Madhya Pradesh,30,Chachoda,BHAI NARENDRA RATRE,Independent,114,0,114,0.08
S12,Madhya Pradesh,30,Chachoda,NEELESH BISWAS,Independent,193,0,193,0.13
S12,Madhya Pradesh,30,Chachoda,MANOJ TANDAN,Independent,247,2,249,0.17
S12,Madhya Pradesh,30,Chachoda,"MAHENDRA PRATAP SINGH RANA (""SIPAHI"")",Independent,191,0,191,0.13
S12,Madhya Pradesh,30,Chachoda,RASHMI SAHU,Independent,131,0,131,0.09
S12,Madhya Pradesh,30,Chachoda,VIJAY AHUJA (VICKY),Independent,116,0,116,0.08
S12,Madhya Pradesh,30,Chachoda,VIDYASHANKAR BHARDWAJ,Independent,118,0,118,0.08
S12,Madhya Pradesh,30,Chachoda,VEDMANI SINGH,Independent,56,0,56,0.04
S12,Madhya Pradesh,30,Chachoda,NOTA,None of the Above,847,19,866,0.6
S12,Madhya Pradesh,31,Raghogadh,Rakesh Yadav,Aam Aadmi Party,944,13,957,0.58
S12,Madhya Pradesh,31,Raghogadh,Engg. Ramkumar Suryawanshi,Bahujan Samaj Party,15008,110,15118,9.18
S12,Madhya Pradesh,31,Raghogadh,Vijay Kesharwani,Indian National Congress,62179,386,62565,37.98
S12,Madhya Pradesh,31,Raghogadh,Vishambhar Gulhare Advocate,Janta Congress Chhattisgarh (J),725,2,727,0.44
S12,Madhya Pradesh,31,Raghogadh,Sushant Shukla,Bharatiya Janata Party,78795,733,79528,48.28
S12,Madhya Pradesh,31,Raghogadh,Anand Ram Sahu,Hamar Raj Party,419,3,422,0.26
S12,Madhya Pradesh,31,Raghogadh,Rajkumar Satnami,Rashtriya Jansabha Party,114,2,116,0.07
S12,Madhya Pradesh,31,Raghogadh,Harish Kumar Kurre,Ambedkarite Party of India,196,0,196,0.12
S12,Madhya Pradesh,31,Raghogadh,Hari Shankar Kushwaha,National Youth Party,99,1,100,0.06
S12,Madhya Pradesh,31,Raghogadh,Heera Lal Sahu,Bhartiya Shakti Chetna Party,120,2,122,0.07
S12,Madhya Pradesh,31,Raghogadh,Arun Tiwari,Independent,145,0,145,0.09
S12,Madhya Pradesh,31,Raghogadh,Ashwani Kumar Dubey,Independent,371,0,371,0.23
