st_code,st_name,ac_no,ac_name,candidate,party,evm_votes,postal_votes,total_votes,percent_votes
S20,Rajasthan,150,Jhadol,Dr. Dev Vijay,Bhartiya Tribal Party,4178,26,4204,1.92
S20,Rajasthan,150,Jhadol,Prachi Meena,Independent,2106,11,2117,0.97
S20,Rajasthan,150,Jhadol,Laduram,Independent,2416,9,2425,1.11
S20,Rajasthan,150,Jhadol,Shanti Lal,Independent,3749,9,3758,1.72
S20,Rajasthan,150,Jhadol,NOTA,None of the Above,6484,4,6488,2.97
S20,Rajasthan,151,Kherwara,Gautam Parmar,Aam Aadmi Party,2803,13,2816,1.28
S20,Rajasthan,151,Kherwara,Dr. Dayaram Parmar,Indian National Congress,75678,1664,77342,35.29
S20,Rajasthan,151,Kherwara,Nana Lal Ahari,Bharatiya Janata Party,59367,731,60098,27.42
S20,Rajasthan,151,Kherwara,Nimalal Bhil,Bahujan Samaj Party,1464,2,1466,0.67
S20,Rajasthan,151,Kherwara,Durgesh Kumar Meena,Ummeed Party of India,1122,4,1126,0.51
S20,Rajasthan,151,Kherwara,Praveen Kumar Parmar,Bhartiya Tribal Party,52576,714,53290,24.31
S20,Rajasthan,151,Kherwara,Rajendra Kumar Meena,Indian Peoples Green Party,1833,5,1838,0.84
S20,Rajasthan,151,Kherwara,Vinod Kumar Meena,Bharat Adivasi Party,15917,272,16189,7.39
S20,Rajasthan,151,Kherwara,Dr.Savita,Independent,1745,3,1748,0.8
S20,Rajasthan,151,Kherwara,NOTA,None of the Above,3249,16,3265,1.49
S20,Rajasthan,152,Udaipur Rural,Khemaraj Katara,Bahujan Samaj Party,2167,6,2173,1.01
S20,Rajasthan,152,Udaipur Rural,Phool Singh Meena,Bharatiya Janata Party,101946,1093,103039,48.03
S20,Rajasthan,152,Udaipur Rural,Dr. Vivek Katara,Indian National Congress,74982,712,75694,35.28
S20,Rajasthan,152,Udaipur Rural,Heera Lal Pargi,Aam Aadmi Party,1736,5,1741,0.81
S20,Rajasthan,152,Udaipur Rural,Amit Kumar Kharadi,Bharat Adivasi Party,25027,145,25172,11.73
